Eday,mrsol,481,485
SImon,sidmasstranx,271,570
Eday,mrsol,486,490
SImon,sidmasstrany,271,570
SImon,siextentn,271,570
Omon,arag,491,500
SImon,siextents,271,570
Eday,mrsol,491,495
Eday,mrsol,496,500
SImon,siflfwbot,271,570
Eday,mrsol,501,505
SImon,sifllatstop,271,570
Omon,arag,501,510
SImon,siflsensupbot,271,570
Eday,mrsol,506,510
Amon,ta,471,570
Eday,mrsol,511,515
Eday,mrsol,516,520
SImon,simass,271,570
Amon,tas,271,570
SImon,simassacrossline,271,570
Amon,tasmax,271,570
Eday,mrsol,521,525
SImon,sipr,271,570
SImon,sisnconc,271,570
Eday,mrsol,526,530
Amon,tasmin,271,570
Eday,mrsol,531,535
Omon,arag,511,520
Eday,mrsol,536,540
Amon,tauu,271,570
SImon,sisnmass,271,570
Eday,mrsol,541,545
Amon,tauv,271,570
SImon,sisnthick,271,570
Omon,arag,521,530
Eday,mrsol,546,550
SImon,sispeed,271,570
Amon,ts,271,570
Eday,mrsol,551,555
Eday,mrsol,556,560
SImon,sistrxdtop,271,570
SImon,sistrxubot,271,570
Eday,mrsol,561,565
Amon,ua,271,370
SImon,sistrydtop,271,570
SImon,sistryubot,271,570
Eday,mrsol,566,570
Omon,arag,531,540
SImon,sithick,271,570
SImon,siu,271,570
Amon,ua,371,470
SImon,siv,271,570
SImon,sivol,271,570
SImon,sivoln,271,570
Omon,arag,541,550
SImon,sivols,271,570
Amon,ua,471,570
SImon,sndmasssnf,271,570
Omon,arag,551,560
SImon,snmassacrossline,271,570
Amon,uas,271,570
Omon,arag,561,570
Amon,va,271,370
Omon,chl,271,280
Omon,chl,281,290
Amon,va,371,470
Omon,chl,291,300
Omon,chl,301,310
Omon,chl,311,320
Omon,chl,321,330
Amon,va,471,570
Omon,chl,331,340
Amon,vas,271,570
Omon,chl,341,350
Omon,chl,351,360
Amon,wap,271,370
Omon,chl,361,370
Amon,wap,371,470
Omon,chl,371,380
Amon,wap,471,570
Omon,chl,381,390
Amon,zg,271,370
Omon,chl,391,400
Omon,chl,401,410
Amon,zg,371,470
Omon,chl,411,420
Amon,zg,471,570
Omon,chl,421,430
Omon,chl,431,440
Omon,chl,441,450
Omon,chl,451,460
Omon,chl,461,470
Omon,chl,471,480
Omon,chl,481,490
Omon,chl,491,500
Omon,chl,501,510
Omon,chl,511,520
Omon,chl,521,530
Omon,chl,531,540
Omon,chl,541,550
Omon,chl,551,560
Omon,chl,561,570
Omon,chlos,271,570
Omon,detoc,271,280
Omon,detoc,281,290
Omon,detoc,291,300
Omon,detoc,301,310
Omon,detoc,311,320
Omon,detoc,321,330
Omon,detoc,331,340
Omon,detoc,341,350
Omon,detoc,351,360
Omon,detoc,361,370
Omon,detoc,371,380
Omon,detoc,381,390
Omon,detoc,391,400
Omon,detoc,401,410
Omon,detoc,411,420
Omon,detoc,421,430
Omon,detoc,431,440
Omon,detoc,441,450
Omon,detoc,451,460
Omon,detoc,461,470
Omon,detoc,471,480
day,hurs,271,320
Omon,detoc,481,490
day,hurs,321,370
Omon,detoc,491,500
Omon,detoc,501,510
day,hurs,371,420
Omon,detoc,511,520
day,hurs,421,470
Omon,detoc,521,530
day,hurs,471,520
Omon,detoc,531,540
day,hurs,521,570
day,hursmax,406,420
Omon,detoc,541,550
day,hursmax,421,435
Omon,detoc,551,560
day,hursmin,271,320
Omon,detoc,561,570
Omon,dfeos,271,570
day,hursmin,321,370
Omon,dissic,271,280
day,hursmin,371,420
Omon,dissic,281,290
day,hursmin,421,470
Omon,dissic,291,300
day,hursmin,471,520
Omon,dissic,301,310
day,hursmin,521,570
day,huss,271,320
Omon,dissic,311,320
Omon,dissic,321,330
Omon,dissic,331,340
day,huss,321,370
Omon,dissic,341,350
day,huss,371,420
day,huss,421,470
Omon,dissic,351,360
Omon,dissic,361,370
day,huss,471,520
day,huss,521,570
Omon,dissic,371,380
day,mrso,271,320
day,mrso,321,370
Omon,dissic,381,390
Omon,dissic,391,400
day,mrso,371,420
day,mrso,421,470
Omon,dissic,401,410
Omon,dissic,411,420
day,mrso,471,520
day,mrso,521,570
Omon,dissic,421,430
day,mrsos,271,320
Omon,dissic,431,440
day,mrsos,321,370
day,mrsos,371,420
Omon,dissic,441,450
day,mrsos,421,470
Omon,dissic,451,460
day,mrsos,471,520
day,mrsos,521,570
Omon,dissic,461,470
Omon,dissic,471,480
day,pr,271,320
Omon,dissic,481,490
Omon,dissic,491,500
day,pr,321,370
Omon,dissic,501,510
Omon,dissic,511,520
day,pr,371,420
Omon,dissic,521,530
day,pr,421,470
Omon,dissic,531,540
day,pr,471,520
Omon,dissic,541,550
Omon,dissic,551,560
day,pr,521,570
Omon,dissic,561,570
day,psl,271,320
Omon,dissicnatos,271,570
day,psl,321,370
Omon,dissicos,271,570
Omon,eparag100,271,570
Omon,epc100,271,570
day,psl,371,420
Omon,evs,271,570
day,psl,421,470
Omon,fgco2,271,570
Omon,fgco2nat,271,570
day,psl,471,520
day,psl,521,570
Omon,fgo2,271,570
Omon,friver,271,570
Omon,fsitherm,271,570
Omon,hfbasinpmadv,271,570
day,sfcWind,271,320
day,sfcWind,321,370
Omon,hfds,271,570
day,sfcWind,371,420
Omon,hfevapds,271,570
Omon,hflso,271,570
day,sfcWind,421,470
