6hrLev,hus,1990,1990
6hrPlevPt,va,2014,2014
day,ua,1999,2003
3hr,prsn,2009,2014
6hrPlevPt,zg500,1979,1988
day,ua,2004,2008
day,ua,2009,2013
day,ua,2014,2014
6hrPlevPt,zg500,1989,1998
6hrLev,hus,1991,1991
3hr,ps,1979,1988
day,uas,1979,2014
6hrPlevPt,zg500,1999,2008
day,va,1979,1983
6hrPlevPt,zg500,2009,2014
3hr,ps,1989,1998
day,va,1984,1988
6hrLev,hus,1992,1992
day,va,1989,1993
3hr,ps,1999,2008
day,va,1994,1998
3hr,ps,2009,2014
day,va,1999,2003
6hrLev,hus,1993,1993
day,va,2004,2008
3hr,rlds,1979,1988
day,va,2009,2013
day,va,2014,2014
6hrLev,hus,1994,1994
day,vas,1979,2014
3hr,rlds,1989,1998
day,wap,1979,1983
day,wap,1984,1988
3hr,rlds,1999,2008
6hrLev,hus,1995,1995
3hr,rlds,2009,2014
day,wap,1989,1993
day,wap,1994,1998
3hr,rldscs,1979,1988
day,wap,1999,2003
6hrLev,hus,1996,1996
day,wap,2004,2008
3hr,rldscs,1989,1998
day,wap,2009,2013
day,wap,2014,2014
6hrLev,hus,1997,1997
3hr,rldscs,1999,2008
3hr,rldscs,2009,2014
3hr,rlus,1979,1988
6hrLev,hus,1998,1998
3hr,rlus,1989,1998
3hr,rlus,1999,2008
6hrLev,hus,1999,1999
3hr,rlus,2009,2014
3hr,rsds,1979,1988
6hrLev,hus,2000,2000
3hr,rsds,1989,1998
3hr,rsds,1999,2008
6hrLev,hus,2001,2001
3hr,rsds,2009,2014
3hr,rsdscs,1979,1988
3hr,rsdscs,1989,1998
6hrLev,hus,2002,2002
3hr,rsdscs,1999,2008
3hr,rsdscs,2009,2014
6hrLev,hus,2003,2003
3hr,rsus,1979,1988
3hr,rsus,1989,1998
6hrLev,hus,2004,2004
3hr,rsus,1999,2008
3hr,rsus,2009,2014
3hr,rsuscs,1979,1988
6hrLev,hus,2005,2005
3hr,rsuscs,1989,1998
3hr,rsuscs,1999,2008
3hr,rsuscs,2009,2014
6hrLev,hus,2006,2006
3hr,tas,1979,1988
3hr,tas,1989,1998
6hrLev,hus,2007,2007
3hr,tas,1999,2008
3hr,tas,2009,2014
6hrLev,hus,2008,2008
