SImon	2	Freshwater Flux from Sea Ice	kg m-2 s-1	Total flux of fresh water from water into sea ice divided by grid-cell area; This flux is negative during ice growth (liquid water mass decreases, hence upward flux of freshwater), positive during ice melt (liquid water mass increases, hence downward flux of freshwater)		siflfwbot	water_flux_into_sea_water_due_to_sea_ice_thermodynamics	area: time: mean where sea_ice (comment: mask=siconc)		real	longitude latitude time	siflfwbot	seaIce	mon	area: areacello	SIMIP [seaicemon]		61	710b731c-faa7-11e6-bfb7-ac72891c3257	590dce42-9e49-11e5-803c-0d0b866b59f3	f94dae78-80ba-11e6-ab6e-5404a60d96b5	Temporal mean, Global field (single level) [XY-na] [amnsi-twm]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	1	Sea-Ice Speed	m s-1	Speed of ice (i.e. mean absolute velocity) to account for back-and-forth movement of the ice		sispeed	sea_ice_speed	area: time: mean where sea_ice (comment: mask=siconc)		real	longitude latitude time	sispeed	seaIce	mon	area: areacello	SIMIP [seaicemon]		64	71435d54-faa7-11e6-bfb7-ac72891c3257	590f4f2e-9e49-11e5-803c-0d0b866b59f3	f94dae78-80ba-11e6-ab6e-5404a60d96b5	Temporal mean, Global field (single level) [XY-na] [amnsi-twm]					C4MIP,CMIP,DAMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,DAMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	X-Component of Ocean Stress on Sea Ice	N m-2	X-component of ocean stress on sea ice		sistrxubot	upward_x_stress_at_sea_ice_base	area: time: mean where sea_ice (comment: mask=siconc)	up	real	longitude latitude time	sistrxubot	seaIce	mon	area: areacello	SIMIP [seaicemon]		69	711858ca-faa7-11e6-bfb7-ac72891c3257	590d2848-9e49-11e5-803c-0d0b866b59f3	f94dae78-80ba-11e6-ab6e-5404a60d96b5	Temporal mean, Global field (single level) [XY-na] [amnsi-twm]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Y-Component of Ocean Stress on Sea Ice	N m-2	Y-component of ocean stress on sea ice		sistryubot	upward_y_stress_at_sea_ice_base	area: time: mean where sea_ice (comment: mask=siconc)	up	real	longitude latitude time	sistryubot	seaIce	mon	area: areacello	SIMIP [seaicemon]		70	7132e85c-faa7-11e6-bfb7-ac72891c3257	59150da6-9e49-11e5-803c-0d0b866b59f3	f94dae78-80ba-11e6-ab6e-5404a60d96b5	Temporal mean, Global field (single level) [XY-na] [amnsi-twm]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Maximum Shear of Sea-Ice Velocity Field	s-1	Maximum shear of sea-ice velocity field (second shear strain invariant)		sishevel	maximum_over_coordinate_rotation_of_sea_ice_horizontal_shear_strain_rate	area: mean where sea_ice (comment: mask=siconc) time: point		real	longitude latitude time1	sishevel	seaIce	monPt	area: areacello	SIMIP [seaicemon]		83	713564ba-faa7-11e6-bfb7-ac72891c3257	590d70b4-9e49-11e5-803c-0d0b866b59f3	f7ec3940-562c-11e6-a2a4-ac72891c3257	Instantaneous value (i.e. synoptic or time-step value), Global field (single level) [XY-na] [amnsi-tpt]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Sea-Ice Extent North	1e6 km2	Total area of all Northern-Hemisphere grid cells that are covered by at least 15 % areal fraction of sea ice		siextentn	sea_ice_extent	area: time: mean		real	 time	siextentn	seaIce	mon		SIMIP [seaicemon]		84	713a5c36-faa7-11e6-bfb7-ac72891c3257	5917b45c-9e49-11e5-803c-0d0b866b59f3	e9fb0b1e-c1ce-11e6-8067-ac72891c3257	Temporal mean, Global mean/constant [na-na]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Sea-Ice Extent South	1e6 km2	Total area of all Southern-Hemisphere grid cells that are covered by at least 15 % areal fraction of sea ice		siextents	sea_ice_extent	area: time: mean		real	 time	siextents	seaIce	mon		SIMIP [seaicemon]		85	7146a28e-faa7-11e6-bfb7-ac72891c3257	590e9ed0-9e49-11e5-803c-0d0b866b59f3	e9fb0b1e-c1ce-11e6-8067-ac72891c3257	Temporal mean, Global mean/constant [na-na]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Sea-Ice Volume North	1e3 km3	total volume of sea ice in the Northern hemisphere		sivoln	sea_ice_volume	area: time: mean		real	 time	sivoln	seaIce	mon		SIMIP [seaicemon]	86	712c4bd2-faa7-11e6-bfb7-ac72891c3257	5913c9aa-9e49-11e5-803c-0d0b866b59f3	e9fb0b1e-c1ce-11e6-8067-ac72891c3257	Temporal mean, Global mean/constant [na-na]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Sea-Ice Volume South	1e3 km3	total volume of sea ice in the Southern hemisphere		sivols	sea_ice_volume	area: time: mean		real	 time	sivols	seaIce	mon		SIMIP [seaicemon]	87	711edae2-faa7-11e6-bfb7-ac72891c3257	590ee2fa-9e49-11e5-803c-0d0b866b59f3	e9fb0b1e-c1ce-11e6-8067-ac72891c3257	Temporal mean, Global mean/constant [na-na]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Sea-Ice Area North	1e6 km2	total area of sea ice in the Northern hemisphere		siarean	sea_ice_area	area: time: mean		real	 time	siarean	seaIce	mon		SIMIP [seaicemon]	88	7132f446-faa7-11e6-bfb7-ac72891c3257	59139a70-9e49-11e5-803c-0d0b866b59f3	e9fb0b1e-c1ce-11e6-8067-ac72891c3257	Temporal mean, Global mean/constant [na-na]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Sea-Ice Area South	1e6 km2	total area of sea ice in the Southern hemisphere		siareas	sea_ice_area	area: time: mean		real	 time	siareas	seaIce	mon		SIMIP [seaicemon]	89	7124f9a4-faa7-11e6-bfb7-ac72891c3257	59139548-9e49-11e5-803c-0d0b866b59f3	e9fb0b1e-c1ce-11e6-8067-ac72891c3257	Temporal mean, Global mean/constant [na-na]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Sea-Ice Area Flux Through Straits	m2 s-1	net (sum of transport in all directions) sea ice area transport through the following four passages, positive into the Arctic Ocean 1. Fram Strait = (11.5W,81.3N to (10.5E,79.6N) 2. Canadian Archipelago = (128.2W,70.6N) to (59.3W,82.1N) 3. Barents opening = (16.8E,76.5N) to (19.2E,70.2N) 4. Bering Strait = (171W,66.2N) to (166W,65N)	Flux across 4 straits	siareaacrossline	sea_ice_area_transport_across_line	time: mean		real	siline time	siareaacrossline	seaIce	mon		SIMIP [seaicemon]		91	712442ca-faa7-11e6-bfb7-ac72891c3257	73097b4c-7a68-11e6-8db2-ac72891c3257	e9fa5c14-c1ce-11e6-8067-ac72891c3257	Temporal mean, Sea-ice ocean transect [TRS-na]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All			
SImon	2	Snow Mass Flux Through Straits	kg s-1	net (sum of transport in all directions) sea ice area transport through the following four passages, positive into the Arctic Ocean 1. Fram Strait = (11.5W,81.3N to (10.5E,79.6N) 2. Canadian Archipelago = (128.2W,70.6N) to (59.3W,82.1N) 3. Barents opening = (16.8E,76.5N) to (19.2E,70.2N) 4. Bering Strait = (171W,66.2N) to (166W,65N)	Flux across 4 straits	snmassacrossline	snow_transport_across_line_due_to_sea_ice_dynamics	time: mean		real	siline time	snmassacrossline	seaIce	mon		SIMIP [seaicemon]		92	712fb3ee-faa7-11e6-bfb7-ac72891c3257	7309b2ce-7a68-11e6-8db2-ac72891c3257	e9fa5c14-c1ce-11e6-8067-ac72891c3257	Temporal mean, Sea-ice ocean transect [TRS-na]					C4MIP,CMIP,FAFMIP,GMMIP,GeoMIP,HighResMIP,LS3MIP,RFMIP,SIMIP	CMIP,GeoMIP,HighResMIP,SIMIP	All	
