#MASTER VARIABLE MAP - ACCESS-OM2[-025]
#cmip_variable,definable_in_access,access_variable(s),calculation,units,axes_modifier,positive,ACCESS_ver[CM2/ESM/both],realm,notes
#
#...ocean...
sisnmass,yes,hs aice,"maskSeaIce(var[0]*330,var[1])",kg m-2,,,both,seaIce,
siflsensupbot,yes,siflsensupbot,,W m-2,,down,both,seaIce,
sifb,yes,sifb,,m,,,both,seaIce,
sisnhc,yes,sisnhc aice,"maskSeaIce(var[0],var[1])",J m-2,,,both,seaIce,
sidconcth,yes,sidconcth,var[0]*100,s-1,,,both,seaIce,
sidconcdyn,yes,sidconcdyn,var[0]*100,s-1,,,both,seaIce,
sidmassth,yes,sidmassth,,kg m-2 s-1,,,both,seaIce,
sidmassdyn,yes,sidmassdyn,,kg m-2 s-1,,,both,seaIce,
siflcondtop,yes,siflcondtop,,W m-2,,down,both,seaIce,
siflcondbot,yes,siflcondbot,,W m-2,,down,both,seaIce,
siforcecoriolx,yes,siforcecoriolx,,N m-2,,,both,seaIce,
siforcecorioly,yes,siforcecorioly,,N m-2,,,both,seaIce,
siforceintstrx,yes,siforceintstrx,,N m-2,,,both,seaIce,
siforceintstry,yes,siforceintstry,,N m-2,,,both,seaIce,
sifllatstop,yes,fld_s03i234 fld_s00i031,"maskSeaIce(var[0],var[1])",W m-2,,up,both,seaIce,
sifllwdtop,yes,fld_s02i501 fld_s00i031,var[0]/var[1],W m-2,,down,both,seaIce,
sifllwutop,yes,fld_s03i531 fld_s00i031,var[0]/var[1],W m-2,,up,both,seaIce,
siflsenstop,yes,fld_s03i533 fld_s00i031,var[0]/var[1],W m-2,,up,both,seaIce,
siflswdtop,yes,fld_s01i501 fld_s00i031,var[0]/var[1],W m-2,,down,both,seaIce,
siflswutop,yes,fld_s01i503 fld_s00i031,var[0]/var[1],W m-2,,up,both,seaIce,
#siflswdbot,no,siflswdbot,,W m-2,,down,both,seaIce,
sidmasslat,yes,sidmasslat,var[0]*-1/1800,kg m-2 s-1,,,both,seaIce,
sndmassdyn,yes,dvsdtd aice,"maskSeaIce((var[0]*330/8.64e6),var[1])",kg m-2 s-1,,,both,seaIce,
siflfwbot,yes,siflfwbot,,kg m-2 s-1,,,both,seaIce,
sistrxubot,yes,sistrxubot,,N m-2,,up,both,seaIce,
sistryubot,yes,sistryubot,,N m-2,,up,both,seaIce,
sndmasssi,yes,sidmasssi,(var[0]*-1*330)/(1800*917),kg m-2 s-1,,,both,seaIce,
sitempbot,yes,sitempbot,,K,,,both,seaIce,
snmassacrossline,yes,hs uvel vvel,"snowlineTransports(var[0],var[1],var[2])",kg s-1,siline dropX dropY,,OM2,seaIce,
simassacrossline,yes,hi uvel vvel,"icelineTransports(var[0],var[1],var[2])",kg s-1,siline dropX dropY,,OM2,seaIce,
siareaacrossline,yes,aice uvel vvel,"icearealineTransports(var[0],var[1],var[2])",m2 s-1,siline dropX dropY,,OM2,seaIce,
simpconc,yes,apond_ai aice,"maskSeaIce(var[0],var[1])",1,,,both,seaIce,
#
#...ocnBgchem
talk,yes,alk,,mmol m-3,,,both,ocnBgchem,
talkos,yes,talkos_raw,,mmol m-3,,,both,ocnBgchem,
intpp,yes,intpp_raw,var[0]*106/16,mmol m-2 s-1,,,both,ocnBgchem,
fgo2,yes,fgo2_raw,,mmol m-2 s-1,,down,both,ocnBgchem,
#fgco2,yes,fgco2nat_raw,var[0]*12e-6,kg m-2 s-1,,down,both,ocnBgchem,
fgco2,yes,fgco2_raw,var[0]*12e-6,kg m-2 s-1,,down,both,ocnBgchem,
fgco2nat,yes,fgco2nat_raw,var[0]*12e-6,kg m-2 s-1,,down,both,ocnBgchem,
dissic,yes,adic,,mmol m-3,,,both,ocnBgchem,
dissicnat,yes,dic,,mmol m-3,,,both,ocnBgchem,
#dissicnatos,yes,dic,ocean_surface(var[0]),mmol m-3,dropZ,,both,ocnBgchem,
dissicnatos,yes,surface_dic,,mmol m-3,dropZ,,both,ocnBgchem,
dissicos,yes,dissicos_raw,,mmol m-3,,,both,ocnBgchem,
epc100,yes,det,(var[0]*106*24)/(16*86400),mmol m-2 s-1,depth100,,both,ocnBgchem,
o2,yes,o2,,mmol m-3,,,both,ocnBgchem,
no3,yes,no3,,mmol m-3,,,both,ocnBgchem,
po4,yes,no3,var[0]/16,mmol m-3,,,both,ocnBgchem,
o2os,yes,o2os_raw,,mmol m-3,,,both,ocnBgchem,
no3os,yes,no3os_raw,,mmol m-3,,,both,ocnBgchem,
po4os,yes,no3os_raw,var[0]/16,mmol m-3,,,both,ocnBgchem,
arag,yes,caco3,,mmol m-3,,,both,ocnBgchem,
detoc,yes,det,var[0]*106/16,mmol m-3,,,both,ocnBgchem,
dfe,yes,fe,var[0]*1e-6,mol m-3,,,both,ocnBgchem,
dfeos,yes,fe,ocean_surface(var[0]*1e-6),mol m-3,dropZ,,both,ocnBgchem,
eparag100,yes,caco3,var[0]*6/86400,mmol m-2 s-1,depth100,,both,ocnBgchem,
chl,yes,phy,(var[0]*106*0.012)/(16*50*1000),kg m-3,,,both,ocnBgchem,
#chlos,yes,phy,ocean_surface((var[0]*106*0.012)/(16*50*1000)),kg m-3,dropZ,,both,ocnBgchem,
