#local_exp_id,local_exp_dir,json_file_path,data_request,reference_date,start_year,end_year,ACCESS_version,cmip_exp_id
#
## CM2
#
# CMIP
PI-01,/g/data/p66/cm2704/archive/PI-01/history,input_files/json/PI-01.json,input_files/dreq/esm/cmvme_c4.cd.cm.rf.sc_piControl_1_2.csv,101,1001,1100,ESM,piControl
PI-02,/g/data/p66/cm2704/archive/PI-02/history,input_files/json/PI-02.json,input_files/dreq/esm/cmvme_c4.cd.cm.rf.sc_piControl_1_2.csv,1101,101,1100,ESM,piControl-ext
PI-slice-HI-05,/g/data/p66/cm2704/archive/PI-slice-HI-05/history,input_files/json/PI-01.json,input_files/dreq/esm/cmvme_c4.cd.cm.rf.sc_piControl_1_2.csv,101,296,325,ESM,piControl-30yrslice-296-325
PI-EDC-01,/g/data/p66/cm2704/archive/PI-EDC-01/history,input_files/json/PI-EDC-01.json,input_files/dreq/esm/cmvme_c4.cd.cm.rf.sc_esm-piControl_1_2.csv,271,271,770,ESM,esm-piControl
PI-slice-HIE03,/g/data/p66/cm2704/archive/PI-slice-HIE03/history,input_files/json/PI-EDC-01.json,input_files/dreq/esm/cmvme_c4.cd.cm.rf.sc_esm-piControl_1_2.csv,271,456,485,ESM,esm-piControl-30yrslice
PI-1pct-01,/g/data/p66/cm2704/archive/PI-1pct-01/history,input_files/json/PI-1pct-01.json,input_files/dreq/esm/cmvme_c4.cd.cm.rf.sc_1pctCO2_1_2.csv,101,101,250,ESM,1pctCO2
PI-4xco2-01,/g/data/p66/cm2704/archive/PI-4xco2-01/history,input_files/json/PI-4xco2-01.json,input_files/dreq/esm/cmvme_c4.cd.cm.rf.sc_abrupt-4xCO2_1_2.csv,101,101,250,ESM,abrupt-4xCO2
PI-4xco2-02,/g/data/p66/cm2704/archive/PI-4xco2-02/history,input_files/json/PI-4xco2-02.json,input_files/dreq/esm/cmvme_c4.cd.cm.rf.sc_abrupt-4xCO2_1_2.csv,101,101,600,ESM,abrupt-4xCO2-r2
AM-01,/g/data/p66/cm2704/archive/AM-01/history,input_files/json/AM-01.json,input_files/dreq/esm/cmvme_c4.cd.cm.rf.sc_amip_1_2.csv,1979,1979,2014,ESM,amip-r1
AM-02,/g/data/p66/cm2704/archive/AM-02/history,input_files/json/AM-02.json,input_files/dreq/esm/cmvme_c4.cd.cm.rf.sc_amip_1_2.csv,1979,1979,2014,ESM,amip-r2
AM-03,/g/data/p66/cm2704/archive/AM-03/history,input_files/json/AM-03.json,input_files/dreq/esm/cmvme_c4.cd.cm.rf.sc_amip_1_2.csv,1979,1979,2014,ESM,amip-r3
AM-04,/g/data/p66/cm2704/archive/AM-04/history,input_files/json/AM-04.json,input_files/dreq/esm/cmvme_c4.cd.cm.rf.sc_amip_1_2.csv,1979,1979,1979,ESM,amip-r4
AM-05,/g/data/p66/cm2704/archive/AM-05/history,input_files/json/AM-05.json,input_files/dreq/esm/cmvme_c4.cd.cm.rf.sc_amip_1_2.csv,1979,1979,1979,ESM,amip-r5
AM-06,/g/data/p66/cm2704/archive/AM-06/history,input_files/json/AM-06.json,input_files/dreq/esm/cmvme_c4.cd.cm.rf.sc_amip_1_2.csv,1979,1979,1979,ESM,amip-r6
AM-07,/g/data/p66/cm2704/archive/AM-07/history,input_files/json/AM-07.json,input_files/dreq/esm/cmvme_c4.cd.cm.rf.sc_amip_1_2.csv,1979,1979,1979,ESM,amip-r7
