#MASTER VARIABLE MAP
#cmip_variable,definable_in_access,access_variable(s),calculation,units,axes_modifier,positive,ACCESS_ver[CM2/ESM/CM2-Chem],realm,notes
#
#...CCMI2022.(ACCESS-CM2-Chem)...
#
##fx
no,yes,fld_s51i002,var[0]*0.965,mol mol-1,,,CM2-Chem,atmos,zonal
no2,yes,fld_s51i996,var[0]*0.63,mol mol-1,,,CM2-Chem,atmos,zonal
n2o5,yes,fld_s51i005,var[0]*0.268,mol mol-1,,,CM2-Chem,atmos,zonal
hno4,yes,fld_s51i006,var[0]*0.367,mol mol-1,,,CM2-Chem,atmos,zonal
hno3,yes,fld_s51i007,var[0]*0.46,mol mol-1,,,CM2-Chem,atmos,zonal
br,yes,fld_s51i045,var[0]*0.362,mol mol-1,,,CM2-Chem,atmos,zonal
bro,yes,fld_s51i994,var[0]*0.302,mol mol-1,,,CM2-Chem,atmos,zonal
brcl,yes,fld_s51i047,var[0]*0.251,mol mol-1,,,CM2-Chem,atmos,zonal
hbr,yes,fld_s51i052,var[0]*0.358,mol mol-1,,,CM2-Chem,atmos,zonal
hobr,yes,fld_s51i053,var[0]*0.299,mol mol-1,,,CM2-Chem,atmos,zonal
brono2,yes,fld_s51i048,var[0]*0.204,mol mol-1,,,CM2-Chem,atmos,zonal
so2,yes,fld_s51i072,var[0]*0.452,mol mol-1,,,CM2-Chem,atmos,zonal
cos,yes,fld_s51i078,var[0]*0.483,mol mol-1,,,CM2-Chem,atmos,zonal
sadsulf,yes,fld_s51i966,,m-1,,,CM2-Chem,atmos,zonal
epfz,yes,fld_s30i313,,m3 s-2,,,CM2-Chem,atmos,zonal
epfy,yes,fld_s30i312,,m3 s-2,,,CM2-Chem,atmos,zonal
vtem,yes,fld_s30i310,,m s-1,,,CM2-Chem,atmos,zonal
wtem,yes,fld_s30i311,,m s-1,,,CM2-Chem,atmos,zonal
utendgw,yes,fld_s06i247,,m s-2,,,CM2-Chem,atmos,zonal
utendogw,yes,fld_s06i247 fld_s06i115,var[0]-var[1],m s-2,,,CM2-Chem,atmos,zonal
utendnogw,yes,fld_s06i115,,m s-2,,,CM2-Chem,atmos,zonal
